region,field_type,field_name,sample,field_sample,code,cover_pct,presence
BM,restored,BBRP1,1,BBRP1-1,LITTER,3,1
BM,restored,BBRP1,2,BBRP1-2,LITTER,5,1
BM,restored,BBRP1,3,BBRP1-3,LITTER,10,1
BM,restored,BBRP1,4,BBRP1-4,LITTER,10,1
BM,restored,BBRP1,5,BBRP1-5,BARESOIL,4,1
BM,restored,BBRP1,5,BBRP1-5,LITTER,22,1
BM,restored,BBRP1,6,BBRP1-6,BARESOIL,8,1
BM,restored,BBRP1,6,BBRP1-6,LITTER,8,1
BM,restored,BBRP1,8,BBRP1-8,LITTER,8,1
BM,restored,BBRP1,9,BBRP1-9,LITTER,5,1
BM,restored,BBRP1,10,BBRP1-10,LITTER,12,1
BM,restored,ERRP1,1,ERRP1-1,BARESOIL,1,1
BM,restored,ERRP1,1,ERRP1-1,LITTER,1,1
BM,restored,ERRP1,2,ERRP1-2,BARESOIL,1,1
BM,restored,ERRP1,2,ERRP1-2,LITTER,3,1
BM,restored,ERRP1,3,ERRP1-3,BARESOIL,1,1
BM,restored,ERRP1,3,ERRP1-3,LITTER,2,1
BM,restored,ERRP1,4,ERRP1-4,LITTER,2,1
BM,restored,ERRP1,5,ERRP1-5,BARESOIL,3,1
BM,restored,ERRP1,5,ERRP1-5,LITTER,9,1
BM,restored,ERRP1,6,ERRP1-6,LITTER,3,1
BM,restored,ERRP1,7,ERRP1-7,LITTER,3,1
BM,restored,ERRP1,8,ERRP1-8,LITTER,1,1
BM,restored,ERRP1,9,ERRP1-9,BARESOIL,1,1
BM,restored,ERRP1,9,ERRP1-9,LITTER,4,1
BM,restored,ERRP1,10,ERRP1-10,LITTER,4,1
FG,corn,FGC1,1,FGC1-1,BARESOIL,1,1
FG,corn,FGC1,1,FGC1-1,LITTER,1,1
FG,corn,FGC1,2,FGC1-2,LITTER,1,1
FG,corn,FGC1,3,FGC1-3,BARESOIL,1,1
FG,corn,FGC1,3,FGC1-3,LITTER,1,1
FG,corn,FGC1,6,FGC1-6,BARESOIL,1,1
FG,corn,FGC1,6,FGC1-6,LITTER,1,1
FG,remnant,FGREM1,1,FGREM1-1,BARESOIL,1,1
FG,remnant,FGREM1,1,FGREM1-1,LITTER,1,1
FG,remnant,FGREM1,2,FGREM1-2,BARESOIL,1,1
FG,remnant,FGREM1,2,FGREM1-2,LITTER,1,1
FG,remnant,FGREM1,3,FGREM1-3,BARESOIL,1,1
FG,remnant,FGREM1,3,FGREM1-3,LITTER,1,1
FG,remnant,FGREM1,4,FGREM1-4,BARESOIL,6,1
FG,remnant,FGREM1,4,FGREM1-4,LITTER,2,1
FG,remnant,FGREM1,5,FGREM1-5,BARESOIL,9,1
FG,remnant,FGREM1,5,FGREM1-5,LITTER,2,1
FG,remnant,FGREM1,7,FGREM1-7,BARESOIL,4,1
FG,remnant,FGREM1,7,FGREM1-7,LITTER,1,1
FG,remnant,FGREM1,8,FGREM1-8,BARESOIL,11,1
FG,remnant,FGREM1,8,FGREM1-8,LITTER,2,1
FG,remnant,FGREM1,9,FGREM1-9,BARESOIL,17,1
FG,remnant,FGREM1,9,FGREM1-9,LITTER,9,1
FG,remnant,FGREM1,10,FGREM1-10,BARESOIL,11,1
FG,remnant,FGREM1,10,FGREM1-10,LITTER,2,1
FG,restored,FGRP1,1,FGRP1-1,BARESOIL,4,1
FG,restored,FGRP1,1,FGRP1-1,LITTER,1,1
FG,restored,FGRP1,2,FGRP1-2,BARESOIL,10,1
FG,restored,FGRP1,2,FGRP1-2,LITTER,3,1
FG,restored,FGRP1,3,FGRP1-3,BARESOIL,2,1
FG,restored,FGRP1,3,FGRP1-3,LITTER,1,1
FG,restored,FGRP1,4,FGRP1-4,BARESOIL,2,1
FG,restored,FGRP1,4,FGRP1-4,LITTER,1,1
FG,restored,FGRP1,5,FGRP1-5,BARESOIL,2,1
FG,restored,FGRP1,5,FGRP1-5,LITTER,2,1
FG,restored,FGRP1,6,FGRP1-6,BARESOIL,5,1
FG,restored,FGRP1,6,FGRP1-6,LITTER,5,1
FG,restored,FGRP1,7,FGRP1-7,BARESOIL,9,1
FG,restored,FGRP1,7,FGRP1-7,LITTER,1,1
FG,restored,FGRP1,8,FGRP1-8,BARESOIL,12,1
FG,restored,FGRP1,8,FGRP1-8,LITTER,4,1
FG,restored,FGRP1,9,FGRP1-9,BARESOIL,3,1
FG,restored,FGRP1,9,FGRP1-9,LITTER,4,1
FG,restored,FGRP1,10,FGRP1-10,BARESOIL,2,1
FG,restored,FGRP1,10,FGRP1-10,LITTER,3,1
BM,restored,KORP1,1,KORP1-1,LITTER,37,1
BM,restored,KORP1,2,KORP1-2,LITTER,36,1
BM,restored,KORP1,3,KORP1-3,LITTER,23,1
BM,restored,KORP1,4,KORP1-4,LITTER,26,1
BM,restored,KORP1,5,KORP1-5,LITTER,31,1
BM,restored,KORP1,6,KORP1-6,LITTER,34,1
BM,restored,KORP1,7,KORP1-7,LITTER,24,1
BM,restored,KORP1,8,KORP1-8,LITTER,26,1
BM,restored,KORP1,9,KORP1-9,LITTER,31,1
BM,restored,KORP1,10,KORP1-10,LITTER,29,1
LP,corn,LPC1,1,LPC1-1,BARESOIL,43,1
LP,corn,LPC1,1,LPC1-1,LITTER,2,1
LP,corn,LPC1,2,LPC1-2,BARESOIL,24,1
LP,corn,LPC1,3,LPC1-3,BARESOIL,27,1
LP,corn,LPC1,4,LPC1-4,BARESOIL,39,1
LP,corn,LPC1,5,LPC1-5,BARESOIL,12,1
LP,corn,LPC1,6,LPC1-6,BARESOIL,24,1
LP,corn,LPC1,7,LPC1-7,BARESOIL,31,1
LP,corn,LPC1,8,LPC1-8,BARESOIL,16,1
LP,corn,LPC1,9,LPC1-9,BARESOIL,26,1
LP,corn,LPC1,10,LPC1-10,BARESOIL,36,1
LP,remnant,LPREM1,1,LPREM1-1,LITTER,6,1
LP,remnant,LPREM1,9,LPREM1-9,LITTER,6,1
LP,remnant,LPREM1,10,LPREM1-10,LITTER,5,1
LP,restored,LPRP1,1,LPRP1-1,LITTER,12,1
LP,restored,LPRP1,2,LPRP1-2,LITTER,6,1
LP,restored,LPRP1,4,LPRP1-4,LITTER,2,1
LP,restored,LPRP1,5,LPRP1-5,LITTER,14,1
LP,restored,LPRP1,7,LPRP1-7,BARESOIL,2,1
LP,restored,LPRP1,7,LPRP1-7,LITTER,19,1
LP,restored,LPRP1,8,LPRP1-8,LITTER,14,1
LP,restored,LPRP1,9,LPRP1-9,LITTER,10,1
LP,restored,LPRP1,10,LPRP1-10,LITTER,11,1
LP,restored,LPRP2,2,LPRP2-2,LITTER,5,1
LP,restored,LPRP2,4,LPRP2-4,LITTER,9,1
LP,restored,LPRP2,5,LPRP2-5,LITTER,5,1
LP,restored,LPRP2,6,LPRP2-6,LITTER,6,1
LP,restored,LPRP2,7,LPRP2-7,LITTER,16,1
BM,remnant,MBREM1,1,MBREM1-1,LITTER,6,1
BM,remnant,MBREM1,2,MBREM1-2,BARESOIL,1,1
BM,remnant,MBREM1,2,MBREM1-2,LITTER,6,1
BM,remnant,MBREM1,3,MBREM1-3,LITTER,1,1
BM,remnant,MBREM1,4,MBREM1-4,LITTER,4,1
BM,remnant,MBREM1,5,MBREM1-5,LITTER,1,1
BM,remnant,MBREM1,6,MBREM1-6,LITTER,1,1
BM,remnant,MBREM1,7,MBREM1-7,LITTER,5,1
BM,remnant,MBREM1,8,MBREM1-8,LITTER,9,1
BM,remnant,MBREM1,9,MBREM1-9,LITTER,4,1
BM,remnant,MBREM1,10,MBREM1-10,LITTER,6,1
BM,restored,MBRP1,1,MBRP1-1,LITTER,5,1
BM,restored,MBRP1,2,MBRP1-2,LITTER,5,1
BM,restored,MBRP1,3,MBRP1-3,LITTER,6,1
BM,restored,MBRP1,4,MBRP1-4,LITTER,4,1
BM,restored,MBRP1,5,MBRP1-5,LITTER,4,1
BM,restored,MBRP1,6,MBRP1-6,LITTER,5,1
BM,restored,MBRP1,7,MBRP1-7,LITTER,2,1
BM,restored,MBRP1,8,MBRP1-8,LITTER,1,1
BM,restored,MBRP1,9,MBRP1-9,LITTER,5,1
BM,restored,MBRP1,10,MBRP1-10,BARESOIL,6,1
BM,restored,MBRP1,10,MBRP1-10,LITTER,10,1
BM,restored,MHRP1,1,MHRP1-1,BARESOIL,4,1
BM,restored,MHRP1,1,MHRP1-1,LITTER,2,1
BM,restored,MHRP1,2,MHRP1-2,BARESOIL,1,1
BM,restored,MHRP1,2,MHRP1-2,LITTER,2,1
BM,restored,MHRP1,3,MHRP1-3,BARESOIL,3,1
BM,restored,MHRP1,3,MHRP1-3,LITTER,2,1
BM,restored,MHRP1,4,MHRP1-4,BARESOIL,1,1
BM,restored,MHRP1,4,MHRP1-4,LITTER,2,1
BM,restored,MHRP1,5,MHRP1-5,BARESOIL,1,1
BM,restored,MHRP1,5,MHRP1-5,LITTER,1,1
BM,restored,MHRP1,6,MHRP1-6,BARESOIL,1,1
BM,restored,MHRP1,6,MHRP1-6,LITTER,8,1
BM,restored,MHRP1,7,MHRP1-7,LITTER,5,1
BM,restored,MHRP1,8,MHRP1-8,BARESOIL,2,1
BM,restored,MHRP1,8,MHRP1-8,LITTER,6,1
BM,restored,MHRP1,9,MHRP1-9,BARESOIL,4,1
BM,restored,MHRP1,9,MHRP1-9,LITTER,5,1
BM,restored,MHRP1,10,MHRP1-10,BARESOIL,3,1
BM,restored,MHRP1,10,MHRP1-10,LITTER,1,1
BM,restored,MHRP2,1,MHRP2-1,BARESOIL,2,1
BM,restored,MHRP2,1,MHRP2-1,LITTER,1,1
BM,restored,MHRP2,2,MHRP2-2,BARESOIL,2,1
BM,restored,MHRP2,2,MHRP2-2,LITTER,1,1
BM,restored,MHRP2,3,MHRP2-3,BARESOIL,7,1
BM,restored,MHRP2,3,MHRP2-3,LITTER,5,1
BM,restored,MHRP2,4,MHRP2-4,BARESOIL,2,1
BM,restored,MHRP2,4,MHRP2-4,LITTER,2,1
BM,restored,MHRP2,5,MHRP2-5,BARESOIL,1,1
BM,restored,MHRP2,5,MHRP2-5,LITTER,1,1
BM,restored,MHRP2,8,MHRP2-8,BARESOIL,5,1
BM,restored,MHRP2,8,MHRP2-8,LITTER,10,1
BM,restored,MHRP2,9,MHRP2-9,BARESOIL,1,1
BM,restored,MHRP2,9,MHRP2-9,LITTER,1,1
BM,restored,MHRP2,10,MHRP2-10,BARESOIL,3,1
BM,restored,MHRP2,10,MHRP2-10,LITTER,2,1
BM,corn,PHC1,1,PHC1-1,BARESOIL,16,1
BM,corn,PHC1,2,PHC1-2,BARESOIL,15,1
BM,corn,PHC1,3,PHC1-3,BARESOIL,13,1
BM,corn,PHC1,4,PHC1-4,BARESOIL,24,1
BM,corn,PHC1,5,PHC1-5,BARESOIL,26,1
BM,corn,PHC1,6,PHC1-6,BARESOIL,27,1
BM,corn,PHC1,7,PHC1-7,BARESOIL,17,1
BM,corn,PHC1,8,PHC1-8,BARESOIL,13,1
BM,corn,PHC1,9,PHC1-9,BARESOIL,19,1
BM,corn,PHC1,10,PHC1-10,BARESOIL,6,1
BM,restored,PHRP1,7,PHRP1-7,BARESOIL,6,1
