site_key,site_name,region,lat,long,site_type,yr_restore,yr_since,yr_rank
1,BBRP1,BM,43.09988516,-89.72517441,restored,2000,16,9
2,ERRP1,BM,43.06588062,-89.80357781,restored,2013,3,3
3,FGC1,FG,43.16086938,-88.89045361,corn,NA,0,1
4,FGREM1,FG,43.1617188,-88.8897295,remnant,NA,NA,16
5,FGRP1,FG,43.14380525,-88.8817501,restored,2001,15,8
6,FLC1,FL,41.8594106,-88.25147591,corn,NA,0,1
7,FLC2,FL,41.84370115,-88.22912732,corn,NA,0,1
8,FLREM1,FL,41.86043101,-88.2528813,remnant,NA,NA,16
9,FLRP1,FL,41.8345689,-88.25159392,restored,1976,40,14
10,FLRP4,FL,41.83491399,-88.25050469,restored,1980,36,13
11,FLRP5,FL,41.83438945,-88.25318011,restored,1981,35,12
12,FLRSP1,FL,41.84073547,-88.22935967,restored,2006,10,6
13,FLRSP2,FL,41.84132581,-88.22890118,restored,2006,10,6
14,FLRSP3,FL,41.8420645,-88.23056549,restored,2006,10,6
15,KORP1,BM,42.88215366,-89.77671239,restored,1988,28,11
16,LPC1,LP,42.50908689,-88.54460254,corn,NA,0,1
17,LPREM1,LP,42.51206422,-88.54953261,remnant,NA,NA,16
18,LPRP1,LP,42.51302093,-88.5546931,restored,2012,4,4
19,LPRP2,LP,42.51201779,-88.55296408,restored,2012,4,4
20,MBREM1,BM,42.92590401,-89.83371804,remnant,NA,NA,16
21,MBRP1,BM,42.92507387,-89.83342267,restored,1998,18,10
22,MHRP1,BM,42.7858497,-89.93019057,restored,2009,7,5
23,MHRP2,BM,42.78599722,-89.9289995,restored,2014,2,2
24,PHC1,BM,42.93162776,-89.57203704,corn,NA,0,1
25,PHRP1,BM,42.9303947,-89.57121368,restored,2005,11,7
26,LPOF1,LP,42.51216464,-88.55408759,oldfield,NA,NA,15
27,FLOF1,FL,41.84132379,-88.23580267,oldfield,NA,NA,15