site_key,sample,otu_1,otu_2,otu_3,otu_4,otu_5,otu_6,otu_7,otu_8,otu_9,otu_10,otu_11,otu_12,otu_13,otu_14,otu_15,otu_16,otu_17,otu_18,otu_19,otu_20,otu_21,otu_22,otu_23,otu_24,otu_25,otu_26,otu_27,otu_28,otu_29,otu_30,otu_31,otu_32,otu_33,otu_34,otu_35,otu_36,otu_37,otu_38,otu_39,otu_40,otu_41,otu_42,otu_43,otu_44,otu_45,otu_46,otu_47,otu_48,otu_49,otu_50,otu_51,otu_52,otu_53,otu_54,otu_55,otu_56,otu_57,otu_58,otu_59,otu_60,otu_61,otu_62,otu_63,otu_64,otu_65,otu_66,otu_67,otu_68,otu_69,otu_70,otu_71,otu_72,otu_73,otu_74,otu_75,otu_76,otu_77,otu_78,otu_79,otu_80,otu_81,otu_82,otu_83,otu_84,otu_85,otu_86,otu_87,otu_88,otu_89,otu_90,otu_91,otu_92,otu_93,otu_94,otu_95,otu_96,otu_97,otu_98,otu_99,otu_100,otu_101,otu_102,otu_103,otu_104,otu_105,otu_106,otu_107,otu_108,otu_109,otu_110,otu_111,otu_112,otu_113,otu_114,otu_115,otu_116,otu_117,otu_118,otu_119,otu_120,otu_121,otu_122,otu_123,otu_124,otu_125,otu_126,otu_127,otu_128,otu_129,otu_130,otu_131,otu_132,otu_133,otu_134,otu_135,otu_136,otu_137,otu_138,otu_139,otu_140,otu_141,otu_142,otu_143,otu_144,otu_145,otu_146,otu_147
13,3,2,67,68,70,81,75,103,76,25,221,48,0,0,0,0,0,26,0,0,0,0,0,0,7,0,0,0,0,29,5,0,0,0,19,3,0,70,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,47,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,37,0,0,0,0,0,0,0,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,4,12,96,74,205,161,57,83,62,0,0,18,0,0,0,3,0,34,0,0,0,0,12,33,0,0,0,0,0,30,78,0,0,0,19,0,0,63,20,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,42,0,0,0,5,0,0,0,0,12,0,0,0,0,0,11,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,5,20,286,3,8,24,109,91,70,0,0,36,7,5,0,0,0,85,0,0,0,0,0,0,217,0,0,0,0,37,0,0,0,0,0,0,0,22,21,0,11,0,0,0,3,0,0,0,0,0,0,0,0,0,68,0,0,7,0,0,0,0,0,0,0,0,5,0,0,6,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,6,11,81,0,0,146,66,190,72,0,0,207,7,0,0,28,0,74,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0,0,16,0,0,207,11,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,7,7,0,327,0,18,16,79,170,0,14,0,14,0,0,0,2,4,0,0,0,0,0,206,0,0,0,0,0,6,16,0,0,0,52,0,0,0,18,0,0,0,0,0,0,0,0,0,139,0,0,0,0,0,16,0,0,0,0,0,0,2,0,54,0,0,0,0,0,5,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,8,255,9,117,0,28,2,175,106,0,2,0,0,0,0,0,0,33,0,0,0,0,0,3,210,0,0,0,0,30,0,0,0,0,6,0,0,112,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,11,0,0,7,0,0,0,0,0,0,0,4,0,0,0,0,0,0,7,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,9,151,76,16,0,59,53,124,76,0,1,78,64,0,0,0,0,38,0,0,0,0,0,0,325,0,0,0,0,30,0,0,0,0,18,0,0,0,38,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,9,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,10,89,85,109,0,50,45,6,81,0,66,41,55,0,0,0,0,8,0,0,0,0,0,106,110,31,0,0,0,12,18,0,0,0,13,0,0,146,10,0,4,0,0,0,0,0,0,0,0,0,41,0,0,0,1,0,0,0,19,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,1,40,98,92,18,276,52,183,0,0,0,0,1,0,0,0,9,71,0,0,0,0,0,161,0,25,0,0,0,47,8,0,0,0,0,0,0,0,30,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,2,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,2,144,166,50,0,83,61,176,16,0,2,0,0,3,0,0,27,57,0,0,0,0,0,94,0,12,0,0,0,44,0,0,0,0,0,0,0,33,84,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,59,0,0,0,4,0,0,0,0,0,0,0,0,0,0,3,0,21,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,3,31,167,47,0,109,61,96,0,157,0,0,3,0,0,0,12,51,0,0,0,0,0,111,0,0,0,0,0,13,0,0,0,0,0,20,0,151,17,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,11,0,0,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,4,51,59,193,0,98,58,109,0,0,51,0,44,0,0,43,53,44,0,0,0,0,0,104,202,0,0,0,0,18,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,5,35,96,168,0,172,152,142,0,33,2,0,13,0,0,4,8,65,0,0,0,0,0,0,0,0,0,0,0,35,60,0,0,0,0,41,0,110,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,6,110,0,19,18,0,104,255,8,61,29,0,0,0,0,0,11,87,0,0,0,0,0,231,0,3,0,0,0,75,15,0,0,0,0,13,0,0,4,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,7,43,0,107,0,32,15,87,214,0,0,0,0,0,7,0,12,30,0,0,0,0,0,184,236,0,0,0,0,16,0,0,0,0,39,0,0,4,19,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,10,0,0,0,0,0,48,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,8,178,0,115,15,93,50,65,0,5,10,0,6,69,0,230,35,25,0,0,54,0,0,84,0,0,0,0,0,6,1,0,0,0,0,4,0,46,5,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,2,0,0,0,14,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,8,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,9,61,0,172,0,270,2,47,0,0,0,0,0,0,0,0,17,7,0,0,0,0,0,169,209,0,0,0,0,7,0,0,0,0,0,0,0,0,40,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,1,18,70,0,0,0,0,26,146,6,0,523,19,5,0,0,0,7,0,26,3,0,55,0,0,28,0,0,0,2,0,0,0,0,21,0,0,32,0,0,0,0,0,0,0,2,0,0,0,0,0,101,0,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,2,126,86,0,21,21,0,14,53,31,0,444,48,7,0,0,0,0,31,0,7,17,0,0,93,36,0,0,0,3,0,0,0,0,0,0,19,0,1,4,0,0,15,0,12,0,0,0,0,9,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,4,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,3,77,133,32,205,70,22,0,218,3,37,0,22,9,0,13,0,0,0,36,5,16,0,0,0,0,0,0,0,0,0,0,0,0,46,0,0,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,4,0,84,0,0,0,19,14,485,0,12,371,64,0,0,19,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,38,0,0,22,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,5,132,98,170,0,6,0,8,117,0,24,386,0,0,0,8,62,22,0,0,0,0,0,2,0,5,0,0,0,13,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,27,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,6,81,242,19,0,7,20,4,542,0,0,68,2,3,0,0,0,0,19,0,0,0,0,0,2,17,0,0,4,0,0,0,0,0,0,0,0,0,65,0,0,0,0,0,9,0,0,0,0,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,7,34,43,0,0,17,5,23,328,35,0,380,12,0,0,0,0,5,21,0,0,0,0,0,0,1,0,0,0,10,0,0,0,0,45,0,4,113,0,1,0,0,9,0,0,0,0,0,0,0,0,0,6,50,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,8,4,164,35,0,0,41,34,472,0,38,144,4,0,0,0,0,19,0,0,0,0,0,7,80,0,0,0,0,0,0,0,0,0,104,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,9,3,223,0,4,139,0,78,15,0,27,341,96,0,14,0,0,25,0,0,0,0,0,0,0,16,0,0,0,23,0,0,0,0,3,0,0,0,0,0,0,0,7,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,8,0,0,0,0,0,0,0,0,0,0,89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,10,0,78,0,0,13,16,67,185,34,19,310,72,12,0,0,0,32,2,66,2,126,0,0,0,66,0,0,0,14,4,0,0,0,29,0,0,17,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,1,0,0,10,6,99,98,328,0,0,0,0,3,206,0,0,0,101,0,0,151,0,0,0,0,0,0,0,0,59,0,0,0,23,0,0,0,0,1,0,0,49,0,19,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,2,0,0,104,35,60,0,111,0,0,0,0,0,63,0,0,6,60,0,0,14,2,241,0,0,0,0,0,0,5,0,0,0,45,0,0,0,0,151,0,0,0,20,0,0,15,0,234,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,3,0,0,85,0,113,0,47,0,0,0,0,0,567,0,0,0,19,0,0,99,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,20,0,0,0,0,0,0,134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,4,0,0,9,8,94,54,237,0,29,3,0,3,299,0,0,0,96,0,0,56,29,0,0,0,0,0,0,0,64,0,0,0,49,0,0,0,0,63,0,0,0,10,5,0,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,5,0,0,86,231,27,50,224,0,41,0,0,0,149,0,0,0,69,0,0,63,18,14,0,0,0,0,0,0,33,0,4,0,61,0,18,0,0,42,0,0,0,0,0,0,39,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,6,0,0,49,0,99,10,273,3,20,0,0,13,212,0,0,7,64,0,0,54,26,0,0,0,0,2,0,0,41,0,204,0,30,0,4,0,0,0,0,0,0,0,0,0,55,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,7,0,0,59,31,183,3,247,0,2,0,0,14,106,0,0,18,152,0,0,24,61,0,0,0,0,0,0,0,41,0,100,0,7,0,0,0,0,32,0,0,0,0,0,0,28,0,25,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
16,8,0,0,30,22,93,89,184,0,3,3,0,5,174,0,4,0,92,0,0,43,11,0,0,0,0,0,0,0,39,0,0,0,16,0,0,0,0,338,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,9,44,0,156,121,84,146,81,0,27,0,0,5,63,0,0,88,34,30,0,15,21,0,0,0,0,27,0,0,14,0,0,5,42,0,7,0,0,53,0,0,0,0,0,0,24,0,30,0,0,0,0,0,0,0,0,0,0,0,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,10,4,0,7,182,177,11,101,0,0,0,0,9,291,0,0,14,34,7,0,70,16,65,0,0,0,54,0,0,18,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,80,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,1,136,63,16,57,46,4,388,0,8,19,0,40,0,0,18,2,130,0,0,0,0,0,0,46,0,0,0,0,86,35,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,2,41,0,55,0,182,151,26,0,0,14,0,3,0,0,0,0,4,0,0,0,0,0,190,0,8,0,0,288,0,0,0,0,0,0,0,0,67,25,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,3,53,148,51,0,79,32,163,0,0,44,0,89,0,0,0,0,50,0,0,0,0,0,0,0,20,0,0,0,39,95,0,0,0,0,0,0,215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,11,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
