site_key,otu_1,otu_2,otu_3,otu_4,otu_5,otu_6,otu_7,otu_8,otu_9,otu_10,otu_11,otu_12,otu_13,otu_14,otu_15,otu_16,otu_17,otu_18,otu_19,otu_20,otu_21,otu_22,otu_23,otu_24,otu_25,otu_26,otu_27,otu_28,otu_29,otu_30,otu_31,otu_32,otu_33,otu_34,otu_35,otu_36,otu_37,otu_38,otu_39,otu_40,otu_41,otu_42,otu_43,otu_44,otu_45,otu_46,otu_47,otu_48,otu_49,otu_50,otu_51,otu_52,otu_53,otu_54,otu_55,otu_56,otu_57,otu_58,otu_59,otu_60,otu_61,otu_62,otu_63,otu_64,otu_65,otu_66,otu_67,otu_68,otu_69,otu_70,otu_71,otu_72,otu_73,otu_74,otu_75,otu_76,otu_77,otu_78,otu_79,otu_80,otu_81,otu_82,otu_83,otu_84,otu_85,otu_86,otu_87,otu_88,otu_89,otu_90,otu_91,otu_92,otu_93,otu_94,otu_95,otu_96,otu_97,otu_98,otu_99,otu_100,otu_101,otu_102,otu_103,otu_104,otu_105,otu_106,otu_107,otu_108,otu_109,otu_110,otu_111,otu_112,otu_113,otu_114,otu_115,otu_116,otu_117,otu_118,otu_119,otu_120,otu_121,otu_122,otu_123,otu_124,otu_125,otu_126,otu_127,otu_128,otu_129,otu_130,otu_131,otu_132,otu_133,otu_134,otu_135,otu_136,otu_137,otu_138,otu_140,otu_141,otu_142,otu_143,otu_144,otu_145,otu_146,otu_147
12,94.14285714285714,134.71428571428572,78,0.5714285714285714,67.14285714285714,52.714285714285715,154.14285714285714,52,16.857142857142858,41.142857142857146,19.571428571428573,3.2857142857142856,0,0,38,5,59.714285714285715,3,0,0.5714285714285714,0,0,29.571428571428573,38.714285714285715,1.4285714285714286,0,0,0,30.142857142857142,76,0,0,0,6.285714285714286,3,0.5714285714285714,24.428571428571427,40.285714285714285,0,18.428571428571427,0,0,0,0.8571428571428571,0.42857142857142855,0.8571428571428571,0,0,0,0,2.142857142857143,0,0,2.2857142857142856,1.1428571428571428,0,8.428571428571429,2,0,0,0,0,3.142857142857143,0,3.4285714285714284,0,0,0,0,0,37.42857142857143,0,0,0,0,0,0,1.5714285714285714,0,0.14285714285714285,0,0.5714285714285714,0,1.1428571428571428,0,0,1.2857142857142858,0,0,0,0.2857142857142857,0.2857142857142857,0,0,0,0,1.1428571428571428,0.42857142857142855,0,3.5714285714285716,0,0,0,0,0,0,0,3.7142857142857144,0,0,0,0,0,0,3.4285714285714284,0,0.8571428571428571,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,78.14285714285714,74.57142857142857,44.285714285714285,39.285714285714285,99.71428571428571,73.57142857142857,110.42857142857143,66.57142857142857,10.714285714285714,38.714285714285715,125.42857142857143,33,0.8571428571428571,0,4.428571428571429,0,38.57142857142857,19.714285714285715,0,1.1428571428571428,0,1.7142857142857142,5.142857142857143,87.57142857142857,0,0,0,0,25.714285714285715,21.428571428571427,0,0,0,13.142857142857142,1.7142857142857142,0,76.28571428571429,17.142857142857142,0,3.142857142857143,0,0,0,0.2857142857142857,0,0,0,0,0,1.1428571428571428,0,0,0,14.857142857142858,0,0,0,9.571428571428571,0,0,1.4285714285714286,0,1.7142857142857142,0,0,0,0,0,2.142857142857143,0,0,0,0,0,0,1,0,4.285714285714286,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0.5714285714285714,9.857142857142858,0,1.8571428571428572,0,0,0,0,0,0,0,0,0,0,1.1428571428571428,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,84.14285714285714,83.71428571428571,97.71428571428571,7.285714285714286,118.71428571428571,76.85714285714286,146.57142857142858,3.4285714285714284,36.57142857142857,13.428571428571429,0,9.571428571428571,10.285714285714286,0,39.57142857142857,22.142857142857142,57.142857142857146,0,0,7.714285714285714,0,0,112.14285714285714,28.857142857142858,5.714285714285714,0,0,0,34,12,0,0,0,0,11.142857142857142,0,51.142857142857146,20.428571428571427,0,6.857142857142857,0,0,0,0,3.142857142857143,0,0,0,0,1.1428571428571428,0,0,0,21.571428571428573,0,0,0,7.142857142857143,0,0,2.7142857142857144,0,8.571428571428571,0,0,0,0,0,0.42857142857142855,0,3,1.4285714285714286,0,1.1428571428571428,0,0.7142857142857143,0,2.5714285714285716,0,0,0,1.4285714285714286,0,0,0,0,0.42857142857142855,0,0,0,3.5714285714285716,0,2.7142857142857144,0,0,0,0.2857142857142857,0,0,0.5714285714285714,3.857142857142857,0,0,0,0,0,0,0,0,0.14285714285714285,0,0,0,0,4.857142857142857,0,0,0,0,0,0,0,0,0,0,0,1.4285714285714286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,60.42857142857143,147.14285714285714,36.57142857142857,32.857142857142854,34.714285714285715,14.571428571428571,21.714285714285715,271.7142857142857,4.857142857142857,19.714285714285715,250.57142857142858,33.714285714285715,2.7142857142857144,2,5.714285714285714,8.857142857142858,9.428571428571429,7.142857142857143,5.142857142857143,1.7142857142857142,4.714285714285714,0,1.2857142857142858,25,15.571428571428571,0,0,0.5714285714285714,5.571428571428571,0,0,0,0,30.714285714285715,0,2.7142857142857144,15.142857142857142,10.714285714285714,0.5714285714285714,0,0,3.2857142857142856,0,4,0,0,0,0,14.571428571428571,3.857142857142857,0,0,0,13.571428571428571,3,0,0,4.714285714285714,0,0,0,0,0,0,0,0,0,1.4285714285714286,0,5.714285714285714,0,3.4285714285714284,0,0,0,0,0,3.4285714285714284,0,0,0.5714285714285714,0,15.571428571428571,0,0,0,0.5714285714285714,0,0,0,0,0,0,0,0,0,0,0,0,2.4285714285714284,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.5714285714285714,0,0,0,0,0,3.2857142857142856,0,0,1.1428571428571428,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,6.285714285714286,0,63.285714285714285,27.428571428571427,91.71428571428571,56.714285714285715,180.14285714285714,0.42857142857142855,11.285714285714286,0.8571428571428571,0,4.142857142857143,226.28571428571428,0,0.5714285714285714,14.428571428571429,66.57142857142857,4.285714285714286,0,61.714285714285715,12.714285714285714,34.42857142857143,0,0,0,4.142857142857143,0,0,31.714285714285715,0,29.142857142857142,0.7142857142857143,30.428571428571427,0,1.5714285714285714,0,0,89.42857142857143,0,0,7,4.285714285714286,3.4285714285714284,0,44.857142857142854,0,40.142857142857146,0,0.5714285714285714,0,0,0,0,0,0,0,0,0,7.571428571428571,0,0,0,0,0,0,11.142857142857142,0,0,0,0.5714285714285714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,73.71428571428571,61.57142857142857,38.714285714285715,31.142857142857142,143.28571428571428,36.57142857142857,135.85714285714286,10.857142857142858,18,63.714285714285715,0,66,1.2857142857142858,0,34.142857142857146,17.142857142857142,51.285714285714285,7,0,1.2857142857142858,1.7142857142857142,0,49.857142857142854,22.142857142857142,6.857142857142857,1.7142857142857142,0,96.71428571428571,29.571428571428573,22.571428571428573,0,1.4285714285714286,0,3.7142857142857144,8.857142857142858,0,55.857142857142854,5,0,0,0,0.7142857142857143,0,12.571428571428571,0,0,0,0,0,0,0,0,0,7.857142857142857,0,0,0,10.571428571428571,0,0,5,1.8571428571428572,0,0,0,0,0,0,0,0,0,0,0,3.4285714285714284,0,1.8571428571428572,0,2.142857142857143,0.8571428571428571,0,0,0,0,0,0,0,0,0,0,0.7142857142857143,9.714285714285714,0,0,0,0,0,0,3,0,0,0,6,0,0,0,0,0,0,5.285714285714286,0,0.7142857142857143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.14285714285714285,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,48.857142857142854,13.428571428571429,8.285714285714286,56.285714285714285,50,74.28571428571429,139.28571428571428,13.571428571428571,136.85714285714286,5.285714285714286,0,119.14285714285714,13.142857142857142,0,57,82,70.14285714285714,0,0,5.857142857142857,5.714285714285714,0,5.142857142857143,33.142857142857146,31,5.285714285714286,0,0,39.57142857142857,18.857142857142858,0,28.714285714285715,13.571428571428571,0,25.142857142857142,0,0,19,0,0,0,1.8571428571428572,0,23.714285714285715,3.142857142857143,0,0,0,0,0,0,0,7,0,0,0,0,0,0,3.142857142857143,0,0,0,0,0,0.14285714285714285,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.1428571428571428,0,0,0,0,0,5.714285714285714,0,0,2.5714285714285716,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2857142857142857,2.4285714285714284,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2857142857142857,0,0,0,0,0,0,0,0,0
19,121.14285714285714,31,232.28571428571428,6.714285714285714,52.42857142857143,83.71428571428571,88.14285714285714,0.2857142857142857,53.857142857142854,46.714285714285715,0,89.71428571428571,9.571428571428571,0,110.57142857142857,17.142857142857142,48.857142857142854,8.714285714285714,0,3.4285714285714284,0,0,14.857142857142858,14.285714285714286,4.285714285714286,10.714285714285714,0,0,23,0,0,0,4.428571428571429,0,14.285714285714286,0,0,5.428571428571429,0,0,0.7142857142857143,3.142857142857143,0,2.142857142857143,3,0,0,0,0,0.7142857142857143,0,0,4.571428571428571,0,0,0,0,0,0,0,0,0,4.285714285714286,0,27,0.5714285714285714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.857142857142857,0,0,4.142857142857143,0,1.7142857142857142,5,6.142857142857143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.7142857142857142,0,0,0,1.1428571428571428,0,0,1.4285714285714286,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.14285714285714285,0,0
20,34,70.71428571428571,26.714285714285715,0,125.14285714285714,30.285714285714285,79.14285714285714,150.57142857142858,0,1.8571428571428572,31.285714285714285,0,0,0,45.857142857142854,0,13.428571428571429,0,0,0,0,0,52.857142857142854,38.857142857142854,15.142857142857142,0,0,70.71428571428571,15.714285714285714,4,0,0,0,34,0,0,20.428571428571427,1.8571428571428572,0,0,0,0,0,0,0,0,0,118.14285714285714,16.285714285714285,0.2857142857142857,0,0,0,0.7142857142857143,0,0,0,3.142857142857143,0,0,12.571428571428571,42.57142857142857,0,0,0,0,0,3.142857142857143,0,14.142857142857142,0,0,0,4.285714285714286,0,3,25.285714285714285,0,0,0,0,0,0,2,11.857142857142858,31.428571428571427,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.2857142857142856,0,7,0,0.8571428571428571,0,0,0,0,0,0,0,0,0,0.42857142857142855,0,0,0,2.2857142857142856,0,0,2.5714285714285716,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.4285714285714286,0,0,0.2857142857142857,0,0.42857142857142855,0,0,0
21,87.14285714285714,83,35.42857142857143,0,87.28571428571429,24.714285714285715,99,114.14285714285714,42.714285714285715,75.57142857142857,13.285714285714286,15.571428571428571,2.857142857142857,0,29.857142857142858,16,32.57142857142857,0,0,2.4285714285714284,0,13.857142857142858,69.57142857142857,39.285714285714285,3.5714285714285716,0,0,122.42857142857143,21,17.142857142857142,0,0,0.42857142857142855,10.714285714285714,7.285714285714286,0,0,5.571428571428571,0,0,0,15.714285714285714,0,0,2,0,0,9.857142857142858,0,0,0,0,0,4.428571428571429,2.7142857142857144,0,0,0,0,0,11.285714285714286,0.2857142857142857,9.142857142857142,5.285714285714286,0,0,0,0,0,0,0,0,0,4.142857142857143,0,3.7142857142857144,0,1.4285714285714286,0,0,0,0,0,19.428571428571427,0,0,0,0,0,0.5714285714285714,0,1.5714285714285714,0,0,0,0,0,0,0,0,0,0,0,0,1.4285714285714286,0,0,0,0,1.5714285714285714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.8571428571428572,0,0.2857142857142857,0,0.8571428571428571,0,0,0,0,0,0,0
22,98,44.142857142857146,0,28.428571428571427,84.71428571428571,9.857142857142858,117.71428571428571,0,85.71428571428571,63.857142857142854,0,135.57142857142858,29.714285714285715,19.714285714285715,0,15.285714285714286,56.142857142857146,20.714285714285715,4.857142857142857,14.857142857142858,30.714285714285715,22.428571428571427,0,44.142857142857146,10.285714285714286,33.857142857142854,0,0,30.571428571428573,8.285714285714286,22.142857142857142,1.8571428571428572,1,0,1.1428571428571428,2.142857142857143,0,11.285714285714286,1.2857142857142858,0,0,24.714285714285715,0,11.857142857142858,8.571428571428571,5,24.285714285714285,0,0,0,25.714285714285715,8.285714285714286,0,0,0,0,0,0,1.4285714285714286,0,0,0,0,0,0,0.5714285714285714,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8571428571428571,0,0,0,0,0,0,1.7142857142857142,3.857142857142857,0,0,0,0.42857142857142855,0,0,0,0,0,0,1.4285714285714286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5714285714285714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2857142857142857,0,0,0,0,0,0,0,0,0,0
23,78.28571428571429,28.857142857142858,4.571428571428571,93,128.57142857142858,57.42857142857143,61.857142857142854,0,107.28571428571429,66.14285714285714,0,52.857142857142854,39.714285714285715,0,0,1.8571428571428572,37.285714285714285,25.428571428571427,8.428571428571429,27.857142857142858,43.285714285714285,4.285714285714286,0,13.428571428571429,19.142857142857142,102.14285714285714,0,0,21.285714285714285,1.8571428571428572,21.285714285714285,0.2857142857142857,3.5714285714285716,0,5,9.428571428571429,0,14.428571428571429,8.285714285714286,0,0,21.142857142857142,0,0.5714285714285714,11.142857142857142,0,17.714285714285715,1.4285714285714286,0,1.5714285714285714,0.5714285714285714,10.428571428571429,0,0,0,0,0,0,2,0,0.5714285714285714,0,0,0,0,0,0,0,0,0,0,0,0,0.5714285714285714,0,0,0,0,0,0,0,0,0,2.4285714285714284,0,0,0,1.8571428571428572,0,0,0,1.1428571428571428,0,0,0,0,0,0,0.7142857142857143,0,0,0,0,0,0,0,0,0,0,0,0,0,3.142857142857143,0,0.42857142857142855,1.2857142857142858,0,0,0,1.7142857142857142,0,0,0,0,0,0,0,0,0,0,0.8571428571428571,0.8571428571428571,0,0.42857142857142855,0,0,0,0,0,0.2857142857142857,0,0,0,0,0,0
24,0,5.428571428571429,0,84.57142857142857,54.714285714285715,27.714285714285715,272.14285714285717,0.42857142857142855,12.857142857142858,3,0,5.714285714285714,201.42857142857142,0,1.1428571428571428,0,120.85714285714286,1.7142857142857142,16.714285714285715,66.71428571428571,68.57142857142857,2.857142857142857,0,5,1,60.142857142857146,0,0.42857142857142855,44.42857142857143,0.14285714285714285,0,1.5714285714285714,10.857142857142858,0,0,0,0,12.285714285714286,0,0,9.857142857142858,0.7142857142857143,3.2857142857142856,0,43,0,19.857142857142858,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7142857142857143,0,0,0,0,0,0,0,0,0,0,0.14285714285714285,0,0,0,1.2857142857142858,0,0.2857142857142857,0,0,0,0,0,4.571428571428571,0,0,3.2857142857142856,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5714285714285714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,129.85714285714286,65.42857142857143,17.857142857142858,24.428571428571427,50.714285714285715,35,59.42857142857143,0,132.42857142857142,129.71428571428572,0,93.28571428571429,10.571428571428571,0,50.42857142857143,29.571428571428573,31.571428571428573,34.857142857142854,7,4.142857142857143,32.42857142857143,36.57142857142857,0,0.5714285714285714,34.142857142857146,9.142857142857142,0,0,17.285714285714285,16.714285714285715,0,3.5714285714285716,9.142857142857142,0,12,0,0,4.285714285714286,0,0,0,0,0,0.5714285714285714,3.4285714285714284,0,33.142857142857146,0,0,0,15.285714285714286,7.285714285714286,2,1.2857142857142858,0,0,0,0,0,3.857142857142857,2.4285714285714284,0,0,0,0,0,0,0,0,0,0,0,0,0.42857142857142855,0,0,0,0.5714285714285714,0.8571428571428571,0,0,0.5714285714285714,0,8.285714285714286,0,0,0,0,0,0,0,7.142857142857143,0.5714285714285714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.14285714285714285,0,0,0,0,0,0,0,0,0,0,0,0,0
